date,site_id,site_name,day_of_week,month,target_tonnes,actual_tonnes,shortfall_tonnes,shortfall_pct,shortfall_risk_tier,primary_driver,rainfall_mm,soil_moisture_pct,surface_temp_c,ndvi,total_downtime_hours,excavator_downtime_hours,drill_downtime_hours,dumper_downtime_hours,fleet_utilization_pct,blasting_delay_hours,weather_stoppage_hours,labor_attendance_pct,truck_dispatch_trips
2023-01-01,balaghat,Balaghat Mine,Sunday,1,1223,1069,154,12.59,Medium,equipment_downtime,0.0,14.9,23.9,0.538,5.8,1.4,1.5,2.9,98.0,0.0,0.0,89.0,43
2023-01-02,balaghat,Balaghat Mine,Monday,1,1250,485,765,61.2,High,equipment_downtime,0.0,15.7,22.2,0.552,35.7,26.3,1.1,8.3,88.2,0.0,0.0,90.1,17
2023-01-03,balaghat,Balaghat Mine,Tuesday,1,1262,915,347,27.5,High,equipment_downtime,0.0,18.2,23.3,0.516,16.9,6.4,1.8,8.7,94.4,0.0,0.0,97.3,41
2023-01-04,balaghat,Balaghat Mine,Wednesday,1,1217,1114,103,8.46,Medium,equipment_downtime,0.0,15.7,22.2,0.514,5.7,1.4,1.1,3.2,98.0,0.0,0.0,91.6,44
2023-01-05,balaghat,Balaghat Mine,Thursday,1,1267,1139,128,10.1,Medium,equipment_downtime,6.1,19.1,25.2,0.466,3.6,1.1,1.2,1.3,98.0,0.0,0.0,99.0,46
2023-01-06,balaghat,Balaghat Mine,Friday,1,1231,1080,151,12.27,Medium,equipment_downtime,0.0,20.8,23.0,0.461,3.2,0.7,0.2,2.3,98.0,0.0,0.0,93.2,44
2023-01-07,balaghat,Balaghat Mine,Saturday,1,1259,1160,99,7.86,Medium,equipment_downtime,0.0,13.4,26.6,0.437,3.0,0.4,0.4,2.2,98.0,0.0,0.0,90.6,45
2023-01-08,balaghat,Balaghat Mine,Sunday,1,1285,1194,91,7.08,Medium,equipment_downtime,0.0,19.9,22.8,0.524,5.3,1.1,1.7,2.5,98.0,0.0,0.0,90.3,47
2023-01-09,balaghat,Balaghat Mine,Monday,1,1229,1088,141,11.47,Medium,labor_attendance,0.0,20.0,22.5,0.433,2.7,0.2,1.2,1.3,98.0,0.0,0.0,87.4,45
2023-01-10,balaghat,Balaghat Mine,Tuesday,1,1240,1124,116,9.35,Medium,equipment_downtime,0.0,16.9,25.3,0.476,3.5,1.2,0.3,2.0,98.0,0.0,0.0,96.2,46
2023-01-11,balaghat,Balaghat Mine,Wednesday,1,1257,1116,141,11.22,Medium,equipment_downtime,0.0,17.7,24.7,0.415,5.7,1.0,1.1,3.6,98.0,0.0,0.0,93.8,47
2023-01-12,balaghat,Balaghat Mine,Thursday,1,1266,1192,74,5.85,Low,equipment_downtime,0.0,12.1,26.5,0.456,3.0,0.7,0.5,1.8,98.0,0.0,0.0,93.7,49
2023-01-13,balaghat,Balaghat Mine,Friday,1,1263,1062,201,15.91,Medium,equipment_downtime,0.0,13.5,28.9,0.435,7.7,0.4,4.7,2.6,97.5,0.0,0.0,86.7,38
2023-01-14,balaghat,Balaghat Mine,Saturday,1,1291,1146,145,11.23,Medium,equipment_downtime,0.0,17.1,24.3,0.404,4.2,0.3,1.3,2.6,98.0,0.0,0.0,93.0,48
2023-01-15,balaghat,Balaghat Mine,Sunday,1,1258,1129,129,10.25,Medium,labor_attendance,0.0,18.5,25.6,0.384,3.1,0.7,0.8,1.6,98.0,0.0,0.0,85.9,46
2023-01-16,balaghat,Balaghat Mine,Monday,1,1230,1041,189,15.37,Medium,equipment_downtime,0.0,18.1,24.2,0.483,7.4,1.4,3.8,2.2,97.6,0.0,0.0,89.3,42
2023-01-17,balaghat,Balaghat Mine,Tuesday,1,1211,1060,151,12.47,Medium,equipment_downtime,0.0,15.3,27.2,0.53,5.8,1.2,0.7,3.9,98.0,0.0,0.0,95.1,45
2023-01-18,balaghat,Balaghat Mine,Wednesday,1,1271,1225,46,3.62,Low,equipment_downtime,0.0,14.9,26.8,0.503,2.7,0.2,0.3,2.2,98.0,0.0,0.0,89.0,50
2023-01-19,balaghat,Balaghat Mine,Thursday,1,1254,1208,46,3.67,Low,equipment_downtime,0.0,18.2,23.5,0.429,3.9,0.6,0.9,2.4,98.0,0.0,0.0,97.1,49
2023-01-20,balaghat,Balaghat Mine,Friday,1,1273,1143,130,10.21,Medium,equipment_downtime,0.0,12.7,29.3,0.414,3.9,0.6,0.7,2.6,98.0,0.0,0.0,98.5,47
