block_id,site_id,site_name,lat,lon,depth_m,ore_grade_pct,rock_hardness_mohs,drill_hole_density,ndvi_anomaly,soil_moisture_pct,surface_temp_c,spectral_band_ratio,gravity_anomaly_mgal,magnetic_susceptibility,confidence_pct,estimated_reserve_tonnes
BAL-BLK-001,balaghat,Balaghat Mine,21.82467,80.17937,355.7,43.39,4.92,13.12,-0.0108,28.6,29.89,2.923,10.05,2.94,81.8,1770661
DON-BLK-001,dongri_buzurg,Dongri Buzurg Mine,21.47747,79.6227,113.4,39.63,4.88,8.82,-0.3472,32.79,30.98,2.659,5.84,2.85,73.3,775758
GUM-BLK-001,gumgaon,Gumgaon Mine,21.34566,79.01783,132.4,38.12,4.76,15.32,-0.2409,35.11,31.94,2.132,12.06,2.03,88.0,686108
MAN-BLK-001,mansar,Mansar Mine,21.32271,79.20407,234.5,39.05,6.59,14.58,-0.1537,23.31,30.65,1.955,7.76,2.95,66.3,807658
UKW-BLK-001,ukwa,Ukwa Mine,21.98044,80.39618,125.4,45.43,6.47,15.11,-0.3133,22.14,33.49,3.145,10.71,3.28,68.6,690127
BAL-BLK-002,balaghat,Balaghat Mine,21.75695,80.2174,392.9,50.3,5.77,13.27,-0.3192,26.17,38.92,2.755,18.55,0.8,77.3,2480499
DON-BLK-002,dongri_buzurg,Dongri Buzurg Mine,21.55748,79.67974,77.7,43.73,5.17,12.07,-0.025,20.89,28.36,2.457,14.3,3.89,77.6,837380
GUM-BLK-002,gumgaon,Gumgaon Mine,21.41223,79.00668,273.4,42.51,6.92,9.54,-0.2344,21.65,25.41,2.8,11.91,3.51,77.0,869182
MAN-BLK-002,mansar,Mansar Mine,21.34449,79.24037,81.6,39.77,5.37,11.42,0.0477,25.05,33.16,2.597,4.41,3.47,77.9,525888
UKW-BLK-002,ukwa,Ukwa Mine,22.06523,80.45901,126.1,44.64,5.82,16.0,-0.1176,28.75,27.91,3.327,7.67,4.2,60.0,753443
BAL-BLK-003,balaghat,Balaghat Mine,21.76518,80.16225,189.8,51.28,4.54,15.06,-0.4338,24.41,27.22,2.997,11.44,5.36,75.6,1806067
DON-BLK-003,dongri_buzurg,Dongri Buzurg Mine,21.54112,79.72424,138.1,37.75,6.0,6.37,-0.1444,25.56,35.52,2.047,5.5,4.13,64.9,714250
GUM-BLK-003,gumgaon,Gumgaon Mine,21.40172,79.01666,242.0,40.43,4.52,14.97,-0.1474,19.71,40.4,2.852,6.83,4.29,67.9,716986
MAN-BLK-003,mansar,Mansar Mine,21.43258,79.30354,176.9,36.2,6.79,14.88,0.0704,22.53,28.61,2.182,6.47,3.41,80.1,639000
UKW-BLK-003,ukwa,Ukwa Mine,21.97777,80.49979,243.1,51.46,5.83,12.33,-0.1737,18.86,27.18,3.003,13.59,4.36,78.6,981045
BAL-BLK-004,balaghat,Balaghat Mine,21.80189,80.15103,384.3,42.26,5.36,12.75,-0.343,25.04,33.73,2.266,11.5,3.57,64.3,1741231
DON-BLK-004,dongri_buzurg,Dongri Buzurg Mine,21.56831,79.71413,123.6,38.51,5.29,16.84,-0.1093,27.08,34.32,4.0,11.44,4.86,75.4,961477
